"Step","robust-puddle-9 - psnr","robust-puddle-9 - psnr__MIN","robust-puddle-9 - psnr__MAX"
"112","34.78721237182617","34.78721237182617","34.78721237182617"
"113","34.79049301147461","34.79049301147461","34.79049301147461"
"114","34.77960968017578","34.77960968017578","34.77960968017578"
"115","34.79264450073242","34.79264450073242","34.79264450073242"
"116","34.8087272644043","34.8087272644043","34.8087272644043"
"117","34.81808853149414","34.81808853149414","34.81808853149414"
"118","34.83024597167969","34.83024597167969","34.83024597167969"
"119","34.82429504394531","34.82429504394531","34.82429504394531"
"120","34.80544662475586","34.80544662475586","34.80544662475586"
"121","34.813499450683594","34.813499450683594","34.813499450683594"
"122","34.817344665527344","34.817344665527344","34.817344665527344"
"123","34.816558837890625","34.816558837890625","34.816558837890625"
"124","34.80031204223633","34.80031204223633","34.80031204223633"
"125","34.831504821777344","34.831504821777344","34.831504821777344"
"126","34.83121109008789","34.83121109008789","34.83121109008789"
"127","34.8384895324707","34.8384895324707","34.8384895324707"
"128","34.8304328918457","34.8304328918457","34.8304328918457"
"129","34.82184600830078","34.82184600830078","34.82184600830078"
"130","34.828697204589844","34.828697204589844","34.828697204589844"
"131","34.832763671875","34.832763671875","34.832763671875"
"132","34.81766128540039","34.81766128540039","34.81766128540039"
"133","34.83906173706055","34.83906173706055","34.83906173706055"
"134","34.82603073120117","34.82603073120117","34.82603073120117"
"135","34.83245086669922","34.83245086669922","34.83245086669922"
"136","34.82265090942383","34.82265090942383","34.82265090942383"
"137","34.82705307006836","34.82705307006836","34.82705307006836"
"138","34.82695770263672","34.82695770263672","34.82695770263672"
"139","34.84790802001953","34.84790802001953","34.84790802001953"
"140","34.84523010253906","34.84523010253906","34.84523010253906"
"141","34.832698822021484","34.832698822021484","34.832698822021484"
"142","34.8529052734375","34.8529052734375","34.8529052734375"
"143","34.84016036987305","34.84016036987305","34.84016036987305"
"144","34.84348678588867","34.84348678588867","34.84348678588867"
"145","34.85311508178711","34.85311508178711","34.85311508178711"
